t,x,y,z
1.614241743199557106e+02,5.000000000000000000e+03,-8.071208715997785475e+03,5.000000000000000000e+02
1.628157620296104824e+02,5.000000000000000000e+03,-8.140788101480524347e+03,5.000000000000000000e+02
1.642073497392652826e+02,5.000000000000000000e+03,-8.210367486963263218e+03,5.000000000000000000e+02
1.655989374489200827e+02,5.000000000000000000e+03,-8.279946872446003908e+03,5.000000000000000000e+02
1.669905251585748545e+02,5.000000000000000000e+03,-8.349526257928742780e+03,5.000000000000000000e+02
1.683821128682296546e+02,5.000000000000000000e+03,-8.419105643411483470e+03,5.000000000000000000e+02
1.697737005778844548e+02,5.000000000000000000e+03,-8.488685028894222341e+03,5.000000000000000000e+02
1.711652882875392265e+02,5.000000000000000000e+03,-8.558264414376961213e+03,5.000000000000000000e+02
1.725568759971940267e+02,5.000000000000000000e+03,-8.627843799859701903e+03,5.000000000000000000e+02
1.739484637068488269e+02,5.000000000000000000e+03,-8.697423185342440775e+03,5.000000000000000000e+02
1.753400514165035986e+02,5.000000000000000000e+03,-8.767002570825179646e+03,5.000000000000000000e+02
1.767316391261583988e+02,5.000000000000000000e+03,-8.836581956307920336e+03,5.000000000000000000e+02
1.781232268358131989e+02,5.000000000000000000e+03,-8.906161341790659208e+03,5.000000000000000000e+02
1.795148145454679707e+02,5.000000000000000000e+03,-8.975740727273398079e+03,5.000000000000000000e+02
1.809064022551227708e+02,5.000000000000000000e+03,-9.045320112756138769e+03,5.000000000000000000e+02
1.822979899647775426e+02,5.000000000000000000e+03,-9.114899498238877641e+03,5.000000000000000000e+02
1.836895776744323427e+02,5.000000000000000000e+03,-9.184478883721616512e+03,5.000000000000000000e+02
1.850811653840871429e+02,5.000000000000000000e+03,-9.254058269204357202e+03,5.000000000000000000e+02
1.864727530937419147e+02,5.000000000000000000e+03,-9.323637654687096074e+03,5.000000000000000000e+02
1.878643408033967148e+02,5.000000000000000000e+03,-9.393217040169834945e+03,5.000000000000000000e+02
