x,px,y,py,l,delta
-2.464575849828084e-22,-6.6166980025861675e-25,0.0,0.0,-1.6242513882461652e-11,-3.7363511646778238e-28
2.0194319090017844e-22,8.994259886479216e-25,0.0,0.0,-1.627755022094447e-11,-3.7482565701864385e-28
9.567745744029754e-23,-1.5246574992213656e-24,0.0,0.0,-1.6311456661286352e-11,-3.759861050632651e-28
-1.9528447305549877e-22,6.200031463629779e-25,0.0,0.0,-1.6344279274275087e-11,-3.7711646046811737e-28
3.492508885273937e-22,-1.9400560541914178e-25,0.0,0.0,-1.6376061891316268e-11,-3.7821108078547073e-28
-1.9105411306620645e-22,-1.0813618461858373e-24,0.0,0.0,-1.640684622703902e-11,-3.792774892584245e-28
8.188405540598322e-23,1.1006443567117992e-24,0.0,0.0,-1.643667199902606e-11,-3.8032320902244675e-28
2.0393132419530951e-22,-1.3091604032323938e-24,0.0,0.0,-1.6465577036052885e-11,-3.8134071691112085e-28
-2.578341831553962e-22,1.8902313443296302e-25,0.0,0.0,-1.649359738366358e-11,-3.8233095334160063e-28
3.1861512870983e-22,3.39491897229976e-25,0.0,0.0,-1.652076739948034e-11,-3.832995606962291e-28
-9.875492823353067e-23,-1.3705750421861413e-24,0.0,0.0,-1.6547119845001606e-11,-3.842408964076147e-28
-4.39509856290389e-23,1.0938749634335091e-24,0.0,0.0,-1.6572685971844078e-11,-3.8516154355507705e-28
2.872265884018201e-22,-9.25611814521925e-25,0.0,0.0,-1.6597495600727597e-11,-3.8605868096402096e-28
-2.7366783825659614e-22,-3.060486743658725e-25,0.0,0.0,-1.66215771989613e-11,-3.869398315257239e-28
2.448162238434444e-22,7.864370611246009e-25,0.0,0.0,-1.6644957948507602e-11,-3.8779841259984003e-28
1.5161400158150706e-23,-1.4793138639118722e-24,0.0,0.0,-1.6667663816355698e-11,-3.8864194743975414e-28
-1.5685909979935103e-22,8.849550370025825e-25,0.0,0.0,-1.6689719615499496e-11,-3.894544491965723e-28
3.3175707579713327e-22,-4.291085148686284e-25,0.0,0.0,-1.6711149064761402e-11,-3.9026130847204877e-28
-2.4113283917707206e-22,-7.837676817997414e-25,0.0,0.0,-1.6731974842593032e-11,-3.91052181156689e-28
1.3855821392922823e-22,1.0815081975132126e-24,0.0,0.0,-1.6752218643214815e-11,-3.9181249084742407e-28
1.3221736832560104e-22,-1.3865934314115177e-24,0.0,0.0,-1.6771901224437652e-11,-3.9256386694658043e-28
-2.399924769917773e-22,5.103017214928249e-25,0.0,0.0,-1.6791042453281626e-11,-3.932954945737779e-28
3.298976730531579e-22,1.0684325255370985e-25,0.0,0.0,-1.6809661353107793e-11,-3.9401583754529807e-28
